Country Name;Country Code;Series Name;Series Code;1982 [YR1982];1987 [YR1987];1992 [YR1992];1997 [YR1997];2002 [YR2002];2007 [YR2007];2012 [YR2012];2017 [YR2017]
Antigua and Barbuda;ATG;Net migration;SM.POP.NETM;-8840;-7629;2617;4421;-282;-92;-56;-56
Argentina;ARG;Net migration;SM.POP.NETM;139999;160002;29999;-80000;-90000;-84998;30000;24002
Aruba;ABW;Net migration;SM.POP.NETM;-1921;-5194;14218;6926;6263;-441;1253;1004
Barbados;BRB;Net migration;SM.POP.NETM;-5589;-4077;-3263;-1323;-77;2050;2180;2072
Belize;BLZ;Net migration;SM.POP.NETM;-5332;-5404;-9011;11909;5797;8722;7594;6832
Bolivia;BOL;Net migration;SM.POP.NETM;-87002;-106998;-90997;-83002;-89995;-84003;-61794;-50005
Brazil;BRA;Net migration;SM.POP.NETM;0;0;0;0;0;0;15924;30000
Chile;CHL;Net migration;SM.POP.NETM;-63513;-20953;13650;23454;37362;59383;80820;85285
Colombia;COL;Net migration;SM.POP.NETM;-273997;-254001;-223998;-190000;-159003;-143000;-144998;-147004
Costa Rica;CRI;Net migration;SM.POP.NETM;18876;17417;69202;89527;41792;30339;19658;16384
Cuba;CUB;Net migration;SM.POP.NETM;-270000;-69999;-120006;-132839;-145629;-178725;-73271;-109998
Curacao;CUW;Net migration;SM.POP.NETM;-8464;-14547;-11517;-17077;-6070;15363;6817;2573
Dominican Republic;DOM;Net migration;SM.POP.NETM;-118102;-134470;-144154;-150146;-152553;-153773;-153010;-151333
Ecuador;ECU;Net migration;SM.POP.NETM;-14001;-16998;-19000;-69999;-120002;-44999;-38001;-30776
El Salvador;SLV;Net migration;SM.POP.NETM;-231749;-256685;-265152;-326853;-312786;-285671;-240415;-202694
Grenada;GRD;Net migration;SM.POP.NETM;-288;-15001;-3923;-4912;-4132;-4274;-4274;-3497
Guatemala;GTM;Net migration;SM.POP.NETM;-283074;-299909;-367469;-402326;-281050;-114231;-50131;-46073
Guyana;GUY;Net migration;SM.POP.NETM;-97340;-102648;-57867;-80312;-64249;-55476;-27278;-24552
Haiti;HTI;Net migration;SM.POP.NETM;-124999;-135001;-140001;-144998;-139999;-138004;-150000;-175000
Honduras;HND;Net migration;SM.POP.NETM;-61998;-73998;-77999;-64998;-41999;-24000;-15001;-14001
Jamaica;JAM;Net migration;SM.POP.NETM;-73916;-145996;-101198;-82801;-84638;-87395;-93096;-93000
Nicaragua;NIC;Net migration;SM.POP.NETM;-110002;-150001;-120001;-145000;-173998;-155000;-135000;-106342
Panama;PAN;Net migration;SM.POP.NETM;-12704;-9395;1954;9797;16119;22244;28105;31448
Paraguay;PRY;Net migration;SM.POP.NETM;-21209;-17242;-31049;-43861;-46919;-117299;-86700;-82365
Peru;PER;Net migration;SM.POP.NETM;-117998;-185001;-293999;-540001;-634999;-489999;-240000;-179540
Puerto Rico;PRI;Net migration;SM.POP.NETM;-48420;-55192;-296;-30450;-145704;-138043;-103530;-70002
St. Lucia;LCA;Net migration;SM.POP.NETM;-8141;-4262;-4806;-948;-227;2850;40;40
St. Vincent and the Grenadines;VCT;Net migration;SM.POP.NETM;-7345;-7103;-8682;-7948;-5200;-5122;-5000;-2996
Suriname;SUR;Net migration;SM.POP.NETM;-31771;-4845;-5195;-10189;-9124;-6485;-5000;-4999
Trinidad and Tobago;TTO;Net migration;SM.POP.NETM;-34278;-45071;-31973;-32545;-13159;-11303;-4999;-4499
Uruguay;URY;Net migration;SM.POP.NETM;-30000;-30000;-20000;-26000;-104000;-50000;-30000;-15000
Venezuela;VEN;Net migration;SM.POP.NETM;1373;891;-572;-2061;-7648;-28395;-69121;-60493
Virgin Islands (U.S.);VIR;Net migration;SM.POP.NETM;-3492;-11156;-4618;-3936;-5272;-6267;-4501;-2254
